EmployeeID,FirstName,LastName,DateOfBirth,Gender,DepartmentCode,JobTitle,AnnualSalary,HireDate,TerminationDate,EmploymentStatus,TermReason,EmployeeSatisfaction,PerformanceRating,Site
200001,Susanne,Fleury,01/03/1975,M,RD,Data Scientist,97920,01/06/2013,,Active,,3,4,Paris
200002,Victor,Philippe,16/06/1992,F,RD,R&D Manager,62400,02/05/2013,,Active,,1,5,Paris
200003,Olivier,Olivier,07/06/1987,M,RD,Data Scientist,82720,19/12/2012,30/06/2019,Terminated,Retirement,2,3,Paris
200004,Valentine,Noël,07/08/1978,M,RD,Data Scientist,71040,17/06/2013,07/08/2021,Terminated,Layoff,3,2,Paris
200005,Stéphane,Ollivier,24/06/1974,F,RD,Software Engineer,90160,15/06/2014,31/03/2017,Terminated,Resignation,4,4,Paris
200006,Frédérique,Raymond,18/02/1994,M,RD,Data Scientist,78000,27/03/2015,21/07/2015,Terminated,Layoff,3,3,Paris
200007,Noël,Rodrigues,16/02/1988,F,RD,Senior Engineer,130659,05/09/2012,,Active,,3,5,Paris
200008,Frédérique,Lombard,29/03/1987,F,RD,R&D Manager,66000,18/03/2015,,Active,,1,5,Paris
200009,Margaud,Charrier,01/06/1989,F,RD,Data Scientist,75200,21/03/2012,09/04/2021,Terminated,Resignation,3,3,Paris
200010,Adrien,Guyot,12/05/1999,M,RD,Software Engineer,75460,28/09/2014,07/10/2016,Terminated,Other,3,3,Paris
200011,Luisa,Herrmann,16/10/1972,F,RD,Software Engineer,123480,21/09/2014,,Active,,4,3,Paris
200012,Antoine,Mahe,01/12/1990,F,RD,Software Engineer,74260,17/01/2012,,Active,,4,5,Paris
200013,Jérôme,Aubert,09/11/1973,M,RD,Research Scientist,79900,04/10/2012,,Active,,1,3,Paris
200014,Corinne,Chevallier,12/11/1995,F,RD,Research Scientist,113280,22/04/2013,,Active,,3,4,Paris
200015,Jules,Rémy,07/04/1994,M,RD,Software Engineer,94000,30/07/2012,30/07/2021,Terminated,Layoff,4,3,Paris
200016,Tristan,Lemaire,04/05/1976,M,RD,Data Scientist,66000,27/04/2015,15/10/2022,Terminated,Resignation,4,2,Paris
200017,Emmanuel,Courtois,02/06/1977,F,RD,R&D Manager,74880,21/02/2013,01/11/2018,Terminated,Resignation,3,5,Paris
200018,Renée,Bertin,17/01/1988,F,RD,Research Scientist,87220,27/09/2014,,Active,,3,5,Paris
200019,Élisabeth,Lelièvre,12/11/1973,F,RD,Research Scientist,126720,29/05/2013,22/12/2020,Terminated,Layoff,4,3,Paris
200020,Massimo,Gumprich,28/05/1999,F,RD,Research Scientist,126720,29/07/2013,,Active,,3,3,Paris
200021,Lucas,Jean,16/03/1995,F,RD,Software Engineer,99840,06/06/2013,,Active,,3,5,Paris
200022,Léon,Guérin,13/03/1972,F,RD,Data Scientist,86480,24/10/2012,15/12/2022,Terminated,Resignation,3,5,Paris
200023,Édouard,Bourgeois,29/12/1970,M,RD,Senior Engineer,140000,24/05/2015,,Active,,4,3,Paris
200024,Nicoletta,Grimani,17/02/1993,M,RD,ML Engineer,133440,08/07/2013,,Active,,2,5,Paris
200025,Marthe,Vaillant,26/10/1997,M,RD,Senior Engineer,62400,07/09/2013,12/12/2023,Terminated,Resignation,4,2,Paris
200026,Brigitte,Valentin,10/06/1973,F,RD,Research Scientist,117600,11/10/2014,03/10/2023,Terminated,Retirement,1,1,Paris
200027,Maryse,Tanguy,27/09/1981,F,RD,Data Scientist,91180,16/09/2012,20/03/2021,Terminated,Other,4,4,Paris
200028,Denis,Roussel,31/05/1987,F,RD,R&D Manager,122200,28/06/2012,,Active,,2,4,Paris
200029,Virginie,Neveu,19/06/1984,F,RD,Data Scientist,101760,21/02/2013,,Active,,2,4,Paris
200030,Ilias,Gröttner,22/12/1994,F,RD,Research Scientist,88200,12/06/2014,13/05/2019,Terminated,Layoff,2,3,Paris
